Mod Name,Forum Page,Mod Author,Icon
B9 Aerospace,http://forum.kerbalspaceprogram.com/threads/92630,bac9,B9_Aerospace
6S Service Compartment Tubes!,http://forum.kerbalspaceprogram.com/threads/61040,nothke,NothkeSerCom
Cargo Transportation Solutions,http://forum.kerbalspaceprogram.com/threads/77505,Talisar,ModsByTal
CIT,https://ksp.marce.at/,marce,CIT
Deadly Reentry,http://forum.kerbalspaceprogram.com/threads/54954,Starwaster,DeadlyReentry
DMagic Orbital Science,http://forum.kerbalspaceprogram.com/threads/64972,DMagic,DMagic Orbital Science
Extraplanetary Launchpads,http://forum.kerbalspaceprogram.com/threads/59545,taniwha,ExtraplanetaryLaunchpads
FASA,http://forum.kerbalspaceprogram.com/threads/24867,frizzank,FASA
Fuel Science,http://forum.kerbalspaceprogram.com/threads/67359,ArcaneZedric,ArcanumIndustries
GingerCorp Stock-alike Station Hubs,http://forum.kerbalspaceprogram.com/threads/80575,Starwaster,GingerCorp
Kerbal Attachment System (KAS),http://forum.kerbalspaceprogram.com/threads/92514,KospY,KAS
Kerbal Engineer Redux,http://forum.kerbalspaceprogram.com/threads/18230,cybutek,KerbalEngineer
Klockheed Martian. Smart Parts,http://forum.kerbalspaceprogram.com/threads/64227,Firov,Klockheed_Martian_SmartParts
KSP Interstellar,http://forum.kerbalspaceprogram.com/threads/43839,Fractal_UK,WarpPlugin
KSPX,http://forum.kerbalspaceprogram.com/threads/30472,KasperVld,KSPX
KWRocketry,http://forum.kerbalspaceprogram.com/threads/51037,Kickasskyle,KWRocketry
Magic Smoke Industries - Infernal Robotics,http://forum.kerbalspaceprogram.com/threads/37707,sirkut,MagicSmokeIndustries
Mark IV Spaceplane System,http://forum.kerbalspaceprogram.com/threads/101699,Nertea,MarkIVSystem
MechJeb,http://forum.kerbalspaceprogram.com/threads/12384,r4mon,Mechjeb
Modular Rocket Systems,http://forum.kerbalspaceprogram.com/threads/93067,NecroBones,ModRocketSys
NASAmission,-,Squad,NASAmission
Near Future Construction,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFutureConstruction
Near Future Electrical,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFutureElectrical
Near Future Propulsion,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFuturePropulsion
Near Future Solar,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFutureSolar
Near Future Spacecraft,http://forum.kerbalspaceprogram.com/threads/52042,Nertea,NearFutureSpacecraft
NEBULA space engineering - EVA handrails pack ,http://forum.kerbalspaceprogram.com/threads/100531,Krasimir,NEBULA
Nehemiah Engineering - Orbital Material Science,http://forum.kerbalspaceprogram.com/threads/81578,N3h3mia,NehemiahInc
NovaPunch,http://forum.kerbalspaceprogram.com/threads/3870,Tiberion,NovaPunch2
Procedural Dynamics - Procedural Wing,http://forum.kerbalspaceprogram.com/threads/29862,DYJ,ProceduralDynamics
Procedural Fairings,http://forum.kerbalspaceprogram.com/threads/39512,e-dog,ProceduralFairings
Procedural Parts,http://forum.kerbalspaceprogram.com/threads/70676,swamp_ig,ProceduralParts
Raster Prop Monitor,http://forum.kerbalspaceprogram.com/threads/57603,Mihara,JSI
RealChute,http://forum.kerbalspaceprogram.com/threads/57988,stupid_chris,RealChute
RemoteTech,http://forum.kerbalspaceprogram.com/threads/83305,Starstrider42,RemoteTech
RLA  Stockalike,http://forum.kerbalspaceprogram.com/threads/90218,hoojiwana,RLA_Stockalike
SCANSat,http://forum.kerbalspaceprogram.com/threads/80369,DMagic,SCANsat
Squad,-,Squad,Squad
Stoackalike Station Parts Expansion,http://forum.kerbalspaceprogram.com/threads/91814,Nertea,StationPartsExpansion
TAC Life Support ,http://forum.kerbalspaceprogram.com/threads/40667,TaranisElsu,ThunderAerospace
Umbra Space Industries,http://bobpalmer.github.io/UmbraSpaceIndustries/,Roverdude,UmbraSpaceIndustries
Universal Storage,http://forum.kerbalspaceprogram.com/threads/75129,Paul Kingtiger,UniversalStorage
USI Asteroid Recycling Technologies,http://forum.kerbalspaceprogram.com/threads/91790,Roverdude,ART
Vanguard Technologies,http://forum.kerbalspaceprogram.com/threads/25305,Kreuzung,VNG
WombatConversions,http://forum.kerbalspaceprogram.com/threads/89774,rabidninjawombat,WombatConversions
